"","site","id","title","Debut","Fin","localisation","prix","nombreNuits","nombreAvis","notes","images"
"115","hotels.com","Dubaï","Raffles Dubai","22-02-2021","28-02-2021","Bur Dubai","1744","6 nuits","256","9.6","https://exp.cdn-hotels.com/hotels/2000000/1700000/1696200/1696177/20067415_z.jpg"
"132","hotels.com","Dubaï","Address Sky View","01-02-2021","07-02-2021","Downtown Dubaï","2007","6 nuits","68","9.0","https://exp.cdn-hotels.com/hotels/34000000/33020000/33010100/33010066/48ebaa77_z.jpg"
"133","hotels.com","Dubaï","Four Seasons Hotel Dubai International Financial Centre","01-02-2021","07-02-2021","Centre d'expositions international World Trade Center","2833","6 nuits","50","9.4","https://exp.cdn-hotels.com/hotels/16000000/15380000/15378400/15378315/c5260d89_z.jpg"
"135","hotels.com","Dubaï","ME Dubai by Meliá","15-02-2021","21-02-2021","Downtown Dubaï","1757","6 nuits","9","9.2","https://exp.cdn-hotels.com/hotels/43000000/42700000/42691600/42691507/6306b155_z.jpg"
"137","hotels.com","New York","Baccarat Hotel and Residences New York","22-02-2021","28-02-2021","59e Rue","3131","6 nuits","122","9.0","https://exp.cdn-hotels.com/hotels/10000000/9760000/9759700/9759603/e5631987_z.jpg"
"145","hotels.com","New York","The Lowell","22-02-2021","28-02-2021","59e Rue","4208","6 nuits","54","9.4","https://exp.cdn-hotels.com/hotels/1000000/10000/3300/3253/267c2dc4_z.jpg"
"146","hotels.com","New York","The Towers at Lotte New York Palace","22-02-2021","28-02-2021","Midtown East","3487","6 nuits","143","9.2","https://exp.cdn-hotels.com/hotels/5000000/4200000/4195300/4195208/a99c5e1a_z.jpg"
"158","hotels.com","Los Angeles"," The London West Hollywood at Beverly Hills","01-02-2021","07-02-2021","Norma Triangle","2161","6 nuits","403","9.2","https://exp.cdn-hotels.com/hotels/1000000/30000/21100/21097/227e9365_z.jpg"
"159","hotels.com","Los Angeles","Loews Santa Monica Beach Hotel","01-02-2021","07-02-2021","Downtown","2045","6 nuits","823","8.6","https://exp.cdn-hotels.com/hotels/1000000/20000/13000/12954/ce1798f2_z.jpg"
"160","hotels.com","Los Angeles","The Beverly Hills Hotel - Dorchester Collection","01-02-2021","07-02-2021","The Flats","4116","6 nuits","236","9.6","https://exp.cdn-hotels.com/hotels/1000000/20000/12100/12057/5a878f2d_z.jpg"
"163","hotels.com","Los Angeles","Viceroy L""Ermitage Beverly Hills","01-02-2021","07-02-2021","Beverly Hills","2882","6 nuits","256","9.2","https://exp.cdn-hotels.com/hotels/1000000/50000/40500/40442/a974127d_z.jpg"
"164","hotels.com","Los Angeles","Oceana Santa Monica, LXR Hotels & Resorts","01-02-2021","07-02-2021","Wilshire Montana","2927","6 nuits","92","9.0","https://exp.cdn-hotels.com/hotels/1000000/430000/428400/428321/d5562769_z.jpg"
"165","hotels.com","Los Angeles","Beverly Wilshire - Beverly Hills, A Four Seasons Hotel","01-02-2021","07-02-2021","Beverly Hills","2710","6 nuits","334","9.2","https://exp.cdn-hotels.com/hotels/1000000/10000/7400/7346/8bc22324_z.jpg"
"166","hotels.com","Los Angeles","Four Seasons Los Angeles at Beverly Hills","01-02-2021","07-02-2021","Beverly Grove","3093","6 nuits","192","9.4","https://exp.cdn-hotels.com/hotels/1000000/10000/300/300/93ae2bc4_z.jpg"
"169","hotels.com","Los Angeles","The Maybourne Beverly Hills","01-02-2021","07-02-2021","Beverly Hills","2741","6 nuits","12","10.0","https://exp.cdn-hotels.com/hotels/3000000/2030000/2025500/2025453/e0e802ed_z.jpg"
"173","hotels.com","Los Angeles","Casa Del Mar","01-02-2021","07-02-2021","Ocean Park","3002","6 nuits","261","9.4","https://exp.cdn-hotels.com/hotels/1000000/330000/328800/328747/7e360d95_z.jpg"
"174","hotels.com","Los Angeles","Terranea - L.A.""s Oceanfront Resort","01-02-2021","07-02-2021","Rancho Palos Verdes","1962","6 nuits","536","8.8","https://exp.cdn-hotels.com/hotels/3000000/2480000/2471900/2471818/41f89a29_z.jpg"
